name,latitude,longitude
Dublin,53.3498,-6.2603
Cork,51.8985,-8.4756
Galway,53.2707,-9.0568
Limerick,52.6638,-8.6267
Waterford,52.2593,-7.1101
Belfast,54.5973,-5.9301
